,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
0,11,65589,0 942,1 570,2 361,3 262,4 202,5 176,6 146,7 120
1,11,65589,0 943,1 667,2 470,3 341,4 260,5 207,6 170,7 140
2,11,65590,0 941,1 706,2 526,3 395,4 305,5 242,6 195,7 161
3,11,65590,0 940,1 719,2 553,3 428,4 337,5 269,6 218,7 181
4,11,65590,0 941,1 724,2 565,3 446,4 357,5 288,6 234,7 195
5,11,65590,0 941,1 727,2 571,3 455,4 368,5 300,6 245,7 204
6,11,65591,0 942,1 729,2 575,3 459,4 373,5 305,6 251,7 211
7,11,65591,0 942,1 729,2 574,3 461,4 376,5 308,6 256,7 213
8,11,65591,0 941,1 729,2 576,3 463,4 377,5 310,6 259,7 216
9,11,65591,0 941,1 727,2 576,3 464,4 380,5 310,6 258,7 218
10,11,65591,0 941,1 729,2 576,3 464,4 378,5 310,6 258,7 219
11,11,65592,0 940,1 728,2 574,3 462,4 379,5 311,6 259,7 219
12,11,65592,0 939,1 726,2 573,3 460,4 375,5 310,6 257,7 215
13,11,65593,0 941,1 725,2 572,3 462,4 376,5 309,6 257,7 216
14,11,65593,0 941,1 727,2 574,3 461,4 378,5 309,6 259,7 218
15,11,65593,0 940,1 728,2 574,3 462,4 377,5 309,6 257,7 218
16,11,65593,0 940,1 728,2 574,3 464,4 377,5 312,6 257,7 219
17,11,65593,0 941,1 727,2 574,3 462,4 378,5 310,6 258,7 218
18,11,65594,0 941,1 728,2 574,3 462,4 378,5 311,6 259,7 218
19,11,65594,0 940,1 730,2 575,3 461,4 377,5 310,6 258,7 218
20,11,65594,0 941,1 727,2 574,3 463,4 379,5 310,6 259,7 218
21,11,65594,0 940,1 728,2 575,3 464,4 376,5 310,6 257,7 219
22,11,65594,0 939,1 727,2 575,3 461,4 378,5 310,6 259,7 217
23,11,65595,0 942,1 728,2 575,3 464,4 378,5 311,6 257,7 217
24,11,65595,0 939,1 728,2 573,3 461,4 376,5 311,6 259,7 218
25,11,65595,0 943,1 729,2 575,3 463,4 376,5 310,6 256,7 217
26,11,65595,0 941,1 729,2 573,3 462,4 376,5 311,6 258,7 216
27,11,65596,0 940,1 728,2 576,3 463,4 377,5 312,6 258,7 219
28,11,65596,0 940,1 727,2 575,3 461,4 378,5 311,6 259,7 217
29,11,65596,0 939,1 728,2 576,3 461,4 378,5 309,6 258,7 217
30,11,65596,0 941,1 727,2 575,3 463,4 378,5 311,6 259,7 218
31,11,65596,0 940,1 727,2 576,3 463,4 377,5 309,6 260,7 218
32,11,65597,0 940,1 729,2 575,3 462,4 378,5 311,6 259,7 218
33,11,,,,,,,,,
